,owner_id,owner_age_group,owner_gender,district,dog_breed,dog_birthyear,dog_sex,dog_colour,dog_age,distric_name
88,64727,51-60,Male,8,Appenzeller Sennenhund,2016,Male,tricolor,4,Riesbach
89,65665,61-70,Female,8,Pug,2019,Male,beige/schwarz,1,Riesbach
90,65681,51-60,Male,2,Italienisches Windspiel,2011,Male,blau,9,"Wollishofen, Leimbach, Enge"
91,65713,71-80,Female,2,Lagotto Romagnolo,2005,Female,brown,15,"Wollishofen, Leimbach, Enge"
92,65713,71-80,Female,2,Lagotto Romagnolo,2017,Female,brown,3,"Wollishofen, Leimbach, Enge"
93,65732,51-60,Male,7,Holländischer Schäfer,2009,Male,brindle,11,"Funtern, Hottingen, Hirslanden, Witikon"
94,65758,51-60,Female,7,Yorkshire Terrier,2007,Male,black & light brown,13,"Funtern, Hottingen, Hirslanden, Witikon"
95,65794,51-60,Male,7,Lagotto Romagnolo,2017,Male,brown & white,3,"Funtern, Hottingen, Hirslanden, Witikon"
96,65940,51-60,Female,8,Berner Sennenhund,2019,Female,tricolor,1,Riesbach
97,65975,61-70,Female,7,Cocker Spaniel,2018,Male,hellbraun/weiss,2,"Funtern, Hottingen, Hirslanden, Witikon"
98,65975,61-70,Female,7,Labrador Retriever,2010,Female,brown,10,"Funtern, Hottingen, Hirslanden, Witikon"
99,65975,61-70,Female,7,Labrador Retriever,2006,Male,black,14,"Funtern, Hottingen, Hirslanden, Witikon"
100,65981,51-60,Female,6,Labrador Retriever,2013,Male,gelb,7,"Unterstrass, Oberstrass"
101,65981,51-60,Female,6,Labrador Retriever,2017,Male,gelb,3,"Unterstrass, Oberstrass"
102,66151,51-60,Male,11,Deutscher Schäfer,2008,Female,schwarz/braun/weiss,12,"Affoltern, Seebach, Oerlikon"
103,66298,51-60,Male,6,Magyar Viszla,2010,Male,gelb,10,"Unterstrass, Oberstrass"
104,66323,51-60,Male,8,Small mixed breed,2017,Male,brown,3,Riesbach
105,66515,61-70,Male,8,Labrador Retriever,2007,Female,brown,13,Riesbach
106,66515,61-70,Male,8,Labrador Retriever,2011,Female,brown,9,Riesbach
107,66757,51-60,Female,1,Big mixed breed,2012,Male,braun/beige,8,Altstadt
108,66869,51-60,Female,2,Havaneser,2015,Male,braun/rot,5,"Wollishofen, Leimbach, Enge"
109,67001,51-60,Female,3,Pug,2013,Male,beige,7,Wiedikon
110,67018,71-80,Female,6,Labrador Retriever,2012,Male,beige,8,"Unterstrass, Oberstrass"
111,67125,61-70,Male,7,Rhodesian Ridgeback,2017,Male,blue/tan,3,"Funtern, Hottingen, Hirslanden, Witikon"
112,67135,41-50,Male,6,Jack Russel Terrier,2010,Female,tricolor,10,"Unterstrass, Oberstrass"
113,67135,41-50,Male,6,Jack Russel Terrier,2017,Female,tricolor,3,"Unterstrass, Oberstrass"
114,67220,71-80,Male,2,Small mixed breed,2010,Male,brown,10,"Wollishofen, Leimbach, Enge"
